HTAG,B365H,HomeTeam,HTHG,FTHG,B365D,HTR,FTR,AwayTeam,FTAG,Date,B365A
0,1.95,Milan,1,1,3.6,H,H,Napoli,0,11/02/2024,3.8
1,1.44,Juventus,0,0,4.5,A,A,Udinese,1,12/02/2024,8.0
0,2.3,Bologna,1,2,3.2,H,H,Fiorentina,0,14/02/2024,3.2
0,1.8,Torino,0,2,3.4,D,H,Lecce,0,16/02/2024,4.75
0,1.14,Inter,3,4,8.5,H,H,Salernitana,0,16/02/2024,15.0
0,1.6,Napoli,0,1,3.75,D,D,Genoa,1,17/02/2024,6.0
1,5.75,Verona,1,2,3.5,D,D,Juventus,2,17/02/2024,1.67
0,1.36,Atalanta,1,3,5.5,H,H,Sassuolo,0,17/02/2024,8.0
1,2.3,Lazio,1,1,3.1,D,A,Bologna,2,18/02/2024,3.4
1,3.75,Empoli,0,1,3.3,A,D,Fiorentina,1,18/02/2024,2.05
1,1.91,Udinese,1,1,3.6,D,D,Cagliari,1,18/02/2024,4.0
1,3.8,Frosinone,0,0,3.75,A,A,Roma,3,18/02/2024,1.91
0,4.75,Monza,2,4,3.5,H,H,Milan,2,18/02/2024,1.8
0,2.4,Torino,0,0,2.9,D,A,Lazio,2,22/02/2024,3.25
0,1.55,Bologna,1,2,3.8,H,H,Verona,0,23/02/2024,7.0
1,2.2,Sassuolo,0,2,3.4,A,A,Empoli,3,24/02/2024,3.3
0,3.0,Salernitana,0,0,3.1,D,A,Monza,2,24/02/2024,2.5
0,2.25,Genoa,2,2,3.0,H,H,Udinese,0,24/02/2024,3.6
2,1.3,Juventus,2,3,5.5,D,H,Frosinone,2,25/02/2024,10.0
0,4.2,Cagliari,0,1,3.75,D,D,Napoli,1,25/02/2024,1.83
1,7.0,Lecce,0,0,4.5,A,A,Inter,4,25/02/2024,1.44
1,2.38,Milan,1,1,3.4,D,D,Atalanta,1,25/02/2024,3.0
1,1.91,Roma,1,3,3.25,D,H,Torino,2,26/02/2024,4.5
1,2.25,Fiorentina,0,2,3.1,A,H,Lazio,1,26/02/2024,3.5
3,4.0,Sassuolo,1,1,3.8,A,A,Napoli,6,28/02/2024,1.8
0,1.62,Inter,2,4,4.0,H,H,Atalanta,0,28/02/2024,5.5
0,3.5,Lazio,0,0,3.2,D,A,Milan,1,01/03/2024,2.2
